periodo,ano_inicio,ano_fin,consejo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2019-2020,2019,2020,Consejo Comunitario de Los Mangos,No Bosque Estable,360.76,360.76,1,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Manatíes,Bosque Estable,3441.51,3441.51,14,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Manatíes,No Bosque Estable,955.76,955.76,32,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,135845.29,135845.29,410,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,128.3,128.3,82,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,38079.11,38079.11,1050,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,725.14,725.14,176,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6163.6,6163.6,66,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Por El Desarrollo Integral,Deforestación,38.44,38.44,22,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3813.41,3813.41,107,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10779.95,10779.95,24,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Por La Identidad Cultural,Deforestación,16.93,16.93,8,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,1708.06,1708.06,104,shapefile,geometria
2020-2021,2020,2021,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,9318.53,9318.53,121,shapefile,geometria
